"索引","核酸提取编号","华大编号","提取日期","样本类型","核酸类型","样本体积(ml)/质量(mg)","提取方法","浓度(ng/ul)","体积(ul)","冰箱位置","孔板号","孔位","提取总量(ng)","成功建库使用量(ng)","失败建库使用量(ng)","科研项目使用量(ng)","其他使用量(ng)","剩余量(ng)","备注","上次修改时间","创建时间"
"1283","20P4395948","20P4395948","2000-01-01","P","cfDNA","4","无","0.872","49","无","无","无","42.728","0","0","0","0","42.728","无","2020/08/20 06:29","2020/08/20 06:29"
"1284","20P4395949","20P4395949","2000-01-01","P","cfDNA","4","无","0.386","48","无","无","无","18.528","0","0","0","0","18.528","无","2020/08/20 06:29","2020/08/20 06:29"
"1285","20P4395950","20P4395950","2000-01-01","P","cfDNA","4","无","0.754","50","无","无","无","37.7","0","0","0","0","37.7","无","2020/08/20 06:29","2020/08/20 06:29"
"1286","20P4395951","20P4395951","2000-01-01","P","cfDNA","4","无","0.646","50","无","无","无","32.3","0","0","0","0","32.3","无","2020/08/20 06:29","2020/08/20 06:29"
"1287","20P4395952","20P4395952","2000-01-01","P","cfDNA","4","无","0.52","48","无","无","无","24.96","0","0","0","0","24.96","无","2020/08/20 06:29","2020/08/20 06:29"
"1288","20P4395953","20P4395953","2000-01-01","P","cfDNA","4","无","0.998","50","无","无","无","49.9","0","0","0","0","49.9","无","2020/08/20 06:29","2020/08/20 06:29"
"1289","20P4395954","20P4395954","2000-01-01","P","cfDNA","4","无","0.604","48","无","无","无","28.992","0","0","0","0","28.992","无","2020/08/20 06:29","2020/08/20 06:29"
"1290","20P4395955","20P4395955","2000-01-01","P","cfDNA","4","无","0.792","50","无","无","无","39.6","0","0","0","0","39.6","无","2020/08/20 06:29","2020/08/20 06:29"
"1291","20P4395956","20P4395956","2000-01-01","P","cfDNA","4","无","0.922","48","无","无","无","44.256","0","0","0","0","44.256","无","2020/08/20 06:29","2020/08/20 06:29"
"1292","20P4395957","20P4395957","2000-01-01","P","cfDNA","4","无","0.59","50","无","无","无","29.5","0","0","0","0","29.5","无","2020/08/20 06:29","2020/08/20 06:29"
"1293","20P4395958","20P4395958","2000-01-01","P","cfDNA","4","无","0.786","50","无","无","无","39.3","0","0","0","0","39.3","无","2020/08/20 06:29","2020/08/20 06:29"
"1294","20P4395959","20P4395959","2000-01-01","P","cfDNA","4","无","0.78","50","无","无","无","39","0","0","0","0","39","无","2020/08/20 06:29","2020/08/20 06:29"
"1295","20P4395960","20P4395960","2000-01-01","P","cfDNA","4","无","0.704","50","无","无","无","35.2","0","0","0","0","35.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1296","20P4395961","20P4395961","2000-01-01","P","cfDNA","4","无","0.672","50","无","无","无","33.6","0","0","0","0","33.6","无","2020/08/20 06:29","2020/08/20 06:29"
"1297","20P4395962","20P4395962","2000-01-01","P","cfDNA","4","无","0.418","49","无","无","无","20.482","0","0","0","0","20.482","无","2020/08/20 06:29","2020/08/20 06:29"
"1298","20P4395963","20P4395963","2000-01-01","P","cfDNA","4","无","1.31","50","无","无","无","65.5","0","0","0","0","65.5","无","2020/08/20 06:29","2020/08/20 06:29"
"1299","20P4395964","20P4395964","2000-01-01","P","cfDNA","3.6","无","0.536","50","无","无","无","26.8","0","0","0","0","26.8","无","2020/08/20 06:29","2020/08/20 06:29"
"1300","20P4395965","20P4395965","2000-01-01","P","cfDNA","4","无","0.644","50","无","无","无","32.2","0","0","0","0","32.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1301","20P4395966","20P4395966","2000-01-01","P","cfDNA","4","无","0.616","48","无","无","无","29.568","0","0","0","0","29.568","无","2020/08/20 06:29","2020/08/20 06:29"
"1302","20P4395967","20P4395967","2000-01-01","P","cfDNA","3.8","无","0.328","47","无","无","无","15.416","0","0","0","0","15.416","无","2020/08/20 06:29","2020/08/20 06:29"
"1303","20P4395968","20P4395968","2000-01-01","P","cfDNA","3.8","无","0.932","50","无","无","无","46.6","0","0","0","0","46.6","无","2020/08/20 06:29","2020/08/20 06:29"
"1304","20P4395969","20P4395969","2000-01-01","P","cfDNA","4","无","1.46","48","无","无","无","70.08","0","0","0","0","70.08","无","2020/08/20 06:29","2020/08/20 06:29"
"1305","20P4395970","20P4395970","2000-01-01","P","cfDNA","4","无","0.48","47","无","无","无","22.56","0","0","0","0","22.56","无","2020/08/20 06:29","2020/08/20 06:29"
"1306","20P4395971","20P4395971","2000-01-01","P","cfDNA","3.1","无","0.722","49","无","无","无","35.378","0","0","0","0","35.378","无","2020/08/20 06:29","2020/08/20 06:29"
"1307","20P4395972","20P4395972","2000-01-01","P","cfDNA","4","无","0.968","47","无","无","无","45.496","0","0","0","0","45.496","无","2020/08/20 06:29","2020/08/20 06:29"
"1308","20P4395973","20P4395973","2000-01-01","P","cfDNA","4","无","0.946","47","无","无","无","44.462","0","0","0","0","44.462","无","2020/08/20 06:29","2020/08/20 06:29"
"1309","20P4395974","20P4395974","2000-01-01","P","cfDNA","3.5","无","0.294","50","无","无","无","14.7","0","0","0","0","14.7","无","2020/08/20 06:29","2020/08/20 06:29"
"1310","20P4395975","20P4395975","2000-01-01","P","cfDNA","3","无","0.416","49","无","无","无","20.384","0","0","0","0","20.384","无","2020/08/20 06:29","2020/08/20 06:29"
"1311","20P4395976","20P4395976","2000-01-01","P","cfDNA","4","无","0.926","47","无","无","无","43.522","0","0","0","0","43.522","无","2020/08/20 06:29","2020/08/20 06:29"
"1312","20P4395977","20P4395977","2000-01-01","P","cfDNA","4","无","6.18","49","无","无","无","302.82","0","0","0","0","302.82","无","2020/08/20 06:29","2020/08/20 06:29"
"1313","20P4395978","20P4395978","2000-01-01","P","cfDNA","4","无","1.07","49","无","无","无","52.43","0","0","0","0","52.43","无","2020/08/20 06:29","2020/08/20 06:29"
"1314","20P4395979","20P4395979","2000-01-01","P","cfDNA","4","无","0.644","50","无","无","无","32.2","0","0","0","0","32.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1315","20P4395980","20P4395980","2000-01-01","P","cfDNA","3.8","无","0.534","47","无","无","无","25.098","0","0","0","0","25.098","无","2020/08/20 06:29","2020/08/20 06:29"
"1316","20P4395981","20P4395981","2000-01-01","P","cfDNA","4","无","1.2","46","无","无","无","55.2","0","0","0","0","55.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1317","20P4395982","20P4395982","2000-01-01","P","cfDNA","3.6","无","0.584","46","无","无","无","26.864","0","0","0","0","26.864","无","2020/08/20 06:29","2020/08/20 06:29"
"1318","20P4395983","20P4395983","2000-01-01","P","cfDNA","4","无","0.36","48","无","无","无","17.28","0","0","0","0","17.28","无","2020/08/20 06:29","2020/08/20 06:29"
"1319","20P4395984","20P4395984","2000-01-01","P","cfDNA","4","无","0.83","48","无","无","无","39.84","0","0","0","0","39.84","无","2020/08/20 06:29","2020/08/20 06:29"
"1320","20P4395985","20P4395985","2000-01-01","P","cfDNA","4","无","0.688","47","无","无","无","32.336","0","0","0","0","32.336","无","2020/08/20 06:29","2020/08/20 06:29"
"1321","20P4395986","20P4395986","2000-01-01","P","cfDNA","4","无","0.692","48","无","无","无","33.216","0","0","0","0","33.216","无","2020/08/20 06:29","2020/08/20 06:29"
"1322","20P4395987","20P4395987","2000-01-01","P","cfDNA","4","无","0.536","48","无","无","无","25.728","0","0","0","0","25.728","无","2020/08/20 06:29","2020/08/20 06:29"
"1323","20P4395988","20P4395988","2000-01-01","P","cfDNA","4","无","2.72","48","无","无","无","130.56","0","0","0","0","130.56","无","2020/08/20 06:29","2020/08/20 06:29"
"1324","20P4395989","20P4395989","2000-01-01","P","cfDNA","4","无","0.398","48","无","无","无","19.104","0","0","0","0","19.104","无","2020/08/20 06:29","2020/08/20 06:29"
"1325","20P4395990","20P4395990","2000-01-01","P","cfDNA","4","无","0.582","48","无","无","无","27.936","0","0","0","0","27.936","无","2020/08/20 06:29","2020/08/20 06:29"
"1326","20P4395991","20P4395991","2000-01-01","P","cfDNA","3.9","无","0.4","48","无","无","无","19.2","0","0","0","0","19.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1327","20P4395992","20P4395992","2000-01-01","P","cfDNA","4","无","0.408","48","无","无","无","19.584","0","0","0","0","19.584","无","2020/08/20 06:29","2020/08/20 06:29"
"1328","20P4395993","20P4395993","2000-01-01","P","cfDNA","3.9","无","0.296","49","无","无","无","14.504","0","0","0","0","14.504","无","2020/08/20 06:29","2020/08/20 06:29"
"1329","20P4395994","20P4395994","2000-01-01","P","cfDNA","4","无","0.15","48","无","无","无","7.2","0","0","0","0","7.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1330","20P4395995","20P4395995","2000-01-01","P","cfDNA","4","无","0.918","45","无","无","无","41.31","0","0","0","0","41.31","无","2020/08/20 06:29","2020/08/20 06:29"
"1331","20P4395996","20P4395996","2000-01-01","P","cfDNA","3.6","无","0.74","49","无","无","无","36.26","0","0","0","0","36.26","无","2020/08/20 06:29","2020/08/20 06:29"
"1332","20P4395997","20P4395997","2000-01-01","P","cfDNA","4","无","0.4","49","无","无","无","19.6","0","0","0","0","19.6","无","2020/08/20 06:29","2020/08/20 06:29"
"1333","20P4395998","20P4395998","2000-01-01","P","cfDNA","3.6","无","0.46","49","无","无","无","22.54","0","0","0","0","22.54","无","2020/08/20 06:29","2020/08/20 06:29"
"1334","20P4395999","20P4395999","2000-01-01","P","cfDNA","4","无","0.65","49","无","无","无","31.85","0","0","0","0","31.85","无","2020/08/20 06:29","2020/08/20 06:29"
"1335","20P4396000","20P4396000","2000-01-01","P","cfDNA","4","无","0.648","46","无","无","无","29.808","0","0","0","0","29.808","无","2020/08/20 06:29","2020/08/20 06:29"
"1336","20P4396001","20P4396001","2000-01-01","P","cfDNA","4","无","0.45","46","无","无","无","20.7","0","0","0","0","20.7","无","2020/08/20 06:29","2020/08/20 06:29"
"1337","20P4396002","20P4396002","2000-01-01","P","cfDNA","4","无","0.532","48","无","无","无","25.536","0","0","0","0","25.536","无","2020/08/20 06:29","2020/08/20 06:29"
"1338","20P4396003","20P4396003","2000-01-01","P","cfDNA","4","无","0.366","48","无","无","无","17.568","0","0","0","0","17.568","无","2020/08/20 06:29","2020/08/20 06:29"
"1339","20P4396004","20P4396004","2000-01-01","P","cfDNA","4","无","0.376","48","无","无","无","18.048","0","0","0","0","18.048","无","2020/08/20 06:29","2020/08/20 06:29"
"1340","20P4396005","20P4396005","2000-01-01","P","cfDNA","4","无","1.31","48","无","无","无","62.88","0","0","0","0","62.88","无","2020/08/20 06:29","2020/08/20 06:29"
"1341","20P4396006","20P4396006","2000-01-01","P","cfDNA","4","无","0.662","48","无","无","无","31.776","0","0","0","0","31.776","无","2020/08/20 06:29","2020/08/20 06:29"
"1342","20P4396007","20P4396007","2000-01-01","P","cfDNA","4","无","0.976","48","无","无","无","46.848","0","0","0","0","46.848","无","2020/08/20 06:29","2020/08/20 06:29"
"1343","20P4396008","20P4396008","2000-01-01","P","cfDNA","4","无","14.9","48","无","无","无","715.2","0","0","0","0","715.2","无","2020/08/20 06:29","2020/08/20 06:29"
"1344","20P4396009","20P4396009","2000-01-01","P","cfDNA","4","无","0.746","48","无","无","无","35.808","0","0","0","0","35.808","无","2020/08/20 06:29","2020/08/20 06:29"
"1345","20P4396010","20P4396010","2000-01-01","P","cfDNA","4","无","0.584","48","无","无","无","28.032","0","0","0","0","28.032","无","2020/08/20 06:29","2020/08/20 06:29"
"1346","20P4396011","20P4396011","2000-01-01","P","cfDNA","4","无","7.64","48","无","无","无","366.72","0","0","0","0","366.72","无","2020/08/20 06:29","2020/08/20 06:29"
"1347","20P4396012","20P4396012","2000-01-01","P","cfDNA","3","无","0.448","48","无","无","无","21.504","0","0","0","0","21.504","无","2020/08/20 06:29","2020/08/20 06:29"
"1348","20P4396013","20P4396013","2000-01-01","P","cfDNA","4","无","0.882","48","无","无","无","42.336","0","0","0","0","42.336","无","2020/08/20 06:29","2020/08/20 06:29"
"1349","20P4396014","20P4396014","2000-01-01","P","cfDNA","4","无","1.79","48","无","无","无","85.92","0","0","0","0","85.92","无","2020/08/20 06:29","2020/08/20 06:29"
"1350","20P4396015","20P4396015","2000-01-01","P","cfDNA","3.7","无","0.256","48","无","无","无","12.288","0","0","0","0","12.288","无","2020/08/20 06:29","2020/08/20 06:29"
"1351","20P4396016","20P4396016","2000-01-01","P","cfDNA","3.7","无","0.88","48","无","无","无","42.24","0","0","0","0","42.24","无","2020/08/20 06:29","2020/08/20 06:29"
"1352","20P4425321","20P4425321","2000-01-01","P","cfDNA","4","无","0.534","48","无","无","无","25.632","0","0","0","0","25.632","无","2020/08/20 06:29","2020/08/20 06:29"
"1353","19P7264302","19P7264302","2000-01-01","P","cfDNA","4","无","0.506","48","无","无","无","24.288","0","0","0","0","24.288","无","2020/08/20 06:29","2020/08/20 06:29"
"1354","19P7264303","19P7264303","2000-01-01","P","cfDNA","4","无","0.632","48","无","无","无","30.336","0","0","0","0","30.336","无","2020/08/20 06:29","2020/08/20 06:29"
"1355","19P7264304","19P7264304","2000-01-01","P","cfDNA","4","无","0.29","48","无","无","无","13.92","0","0","0","0","13.92","无","2020/08/20 06:29","2020/08/20 06:29"
"1356","19P7264305","19P7264305","2000-01-01","P","cfDNA","4","无","0.748","48","无","无","无","35.904","0","0","0","0","35.904","无","2020/08/20 06:29","2020/08/20 06:29"
"1357","19P7264306","19P7264306","2000-01-01","P","cfDNA","4","无","0.45","48","无","无","无","21.6","0","0","0","0","21.6","无","2020/08/20 06:29","2020/08/20 06:29"
"1358","19P7264308","19P7264308","2000-01-01","P","cfDNA","4","无","0.578","48","无","无","无","27.744","0","0","0","0","27.744","无","2020/08/20 06:29","2020/08/20 06:29"
"1359","19P7264309","19P7264309","2000-01-01","P","cfDNA","4","无","0.314","48","无","无","无","15.072","0","0","0","0","15.072","无","2020/08/20 06:29","2020/08/20 06:29"
"1360","19P7264310","19P7264310","2000-01-01","P","cfDNA","3","无","0.188","45","无","无","无","8.46","0","0","0","0","8.46","无","2020/08/20 06:29","2020/08/20 06:29"
"1361","19P7264311","19P7264311","2000-01-01","P","cfDNA","4","无","0.426","48","无","无","无","20.448","0","0","0","0","20.448","无","2020/08/20 06:29","2020/08/20 06:29"
"1362","19P7264312","19P7264312","2000-01-01","P","cfDNA","4","无","0.542","48","无","无","无","26.016","0","0","0","0","26.016","无","2020/08/20 06:29","2020/08/20 06:29"
"1363","19P7264315","19P7264315","2000-01-01","P","cfDNA","4","无","0.412","48","无","无","无","19.776","0","0","0","0","19.776","无","2020/08/20 06:29","2020/08/20 06:29"
"1364","19P7264316","19P7264316","2000-01-01","P","cfDNA","4","无","0.234","48","无","无","无","11.232","0","0","0","0","11.232","无","2020/08/20 06:29","2020/08/20 06:29"
"1365","19P7264317","19P7264317","2000-01-01","P","cfDNA","4","无","0.376","48","无","无","无","18.048","0","0","0","0","18.048","无","2020/08/20 06:29","2020/08/20 06:29"
"1366","19P7264318","19P7264318","2000-01-01","P","cfDNA","4","无","0.908","48","无","无","无","43.584","0","0","0","0","43.584","无","2020/08/20 06:29","2020/08/20 06:29"
"1367","19P7264319","19P7264319","2000-01-01","P","cfDNA","4","无","0.556","48","无","无","无","26.688","0","0","0","0","26.688","无","2020/08/20 06:29","2020/08/20 06:29"
"1368","19P7264330","19P7264330","2000-01-01","P","cfDNA","4","无","0.33","50","无","无","无","16.5","0","0","0","0","16.5","无","2020/08/20 06:29","2020/08/20 06:29"
"1369","19P7264331","19P7264331","2000-01-01","P","cfDNA","4","无","0.76","47","无","无","无","35.72","0","0","0","0","35.72","无","2020/08/20 06:29","2020/08/20 06:29"
"1370","19P7264332","19P7264332","2000-01-01","P","cfDNA","4","无","0.574","48","无","无","无","27.552","0","0","0","0","27.552","无","2020/08/20 06:29","2020/08/20 06:29"
"1371","19P7264333","19P7264333","2000-01-01","P","cfDNA","4","无","0.248","50","无","无","无","12.4","0","0","0","0","12.4","无","2020/08/20 06:29","2020/08/20 06:29"
"1372","19P7264334","19P7264334","2000-01-01","P","cfDNA","4","无","0.37","48","无","无","无","17.76","0","0","0","0","17.76","无","2020/08/20 06:29","2020/08/20 06:29"
"1373","19P7264335","19P7264335","2000-01-01","P","cfDNA","4","无","0.604","48","无","无","无","28.992","0","0","0","0","28.992","无","2020/08/20 06:29","2020/08/20 06:29"
"1374","19P7264336","19P7264336","2000-01-01","P","cfDNA","4","无","0.856","48","无","无","无","41.088","0","0","0","0","41.088","无","2020/08/20 06:29","2020/08/20 06:29"
"1375","19P7264337","19P7264337","2000-01-01","P","cfDNA","4","无","0.628","48","无","无","无","30.144","0","0","0","0","30.144","无","2020/08/20 06:29","2020/08/20 06:29"
"1376","19P7264338","19P7264338","2000-01-01","P","cfDNA","4","无","0.584","47","无","无","无","27.448","0","0","0","0","27.448","无","2020/08/20 06:29","2020/08/20 06:29"
"1377","19P7264339","19P7264339","2000-01-01","P","cfDNA","4","无","0.652","48","无","无","无","31.296","0","0","0","0","31.296","无","2020/08/20 06:29","2020/08/20 06:29"
"1378","19P7264340","19P7264340","2000-01-01","P","cfDNA","4","无","0.416","49","无","无","无","20.384","0","0","0","0","20.384","无","2020/08/20 06:29","2020/08/20 06:29"
"1379","19P7264341","19P7264341","2000-01-01","P","cfDNA","4","无","0.272","49","无","无","无","13.328","0","0","0","0","13.328","无","2020/08/20 06:29","2020/08/20 06:29"
"1380","19P7264342","19P7264342","2000-01-01","P","cfDNA","4","无","0.344","48","无","无","无","16.512","0","0","0","0","16.512","无","2020/08/20 06:29","2020/08/20 06:29"
"1381","19P7264343","19P7264343","2000-01-01","P","cfDNA","4","无","0.488","49","无","无","无","23.912","0","0","0","0","23.912","无","2020/08/20 06:29","2020/08/20 06:29"
"1382","19P7264344","19P7264344","2000-01-01","P","cfDNA","4","无","0.312","49","无","无","无","15.288","0","0","0","0","15.288","无","2020/08/20 06:29","2020/08/20 06:29"
"1383","19P0139004","19P0139004","2000-01-01","P","cfDNA","3.4","美基磁珠标准法","2.04","42","无","无","无","85.68","10","0","0","0","75.68","无","2020/08/20 06:31","2020/08/20 06:29"
"1384","19P0138992","19P0138992","2000-01-01","P","cfDNA","3.4","美基磁珠标准法","2","42","无","无","无","84","10","0","0","0","74","无","2020/08/20 06:31","2020/08/20 06:29"
"1385","19P0139002","19P0139002","2000-01-01","P","cfDNA","3.4","美基磁珠标准法","1.57","42","无","无","无","65.94","10","0","0","0","55.94","无","2020/08/20 06:31","2020/08/20 06:29"
"1386","19P0139001","19P0139001","2000-01-01","P","cfDNA","8.2","美基磁珠标准法","0.884","77","无","无","无","68.068","10","0","0","0","58.068","无","2020/08/20 06:31","2020/08/20 06:29"
"1387","19P0138987","19P0138987","2000-01-01","P","cfDNA","3.4","美基磁珠标准法","0.872","42","无","无","无","36.624","10","0","0","0","26.624","无","2020/08/20 06:31","2020/08/20 06:29"
"1388","19P0138994","19P0138994","2000-01-01","P","cfDNA","3","美基磁珠标准法","0.798","42","无","无","无","33.516","10","0","0","0","23.516","无","2020/08/20 06:31","2020/08/20 06:29"
"1389","19P0139008","19P0139008","2000-01-01","P","cfDNA","7.5","美基磁珠标准法","0.716","77","无","无","无","55.132","10","0","0","0","45.132","无","2020/08/20 06:31","2020/08/20 06:29"
"1390","19P0139005","19P0139005","2000-01-01","P","cfDNA","8.3","美基磁珠标准法","0.354","77","无","无","无","27.258","10","0","0","0","17.258","无","2020/08/20 06:31","2020/08/20 06:29"
"1391","19P0138982","19P0138982","2000-01-01","P","cfDNA","9","美基磁珠标准法","0.322","77","无","无","无","24.794","10","0","0","0","14.794","无","2020/08/20 06:31","2020/08/20 06:29"
"1392","19P0138983","19P0138983","2000-01-01","P","cfDNA","8.9","美基磁珠标准法","0.308","77","无","无","无","23.716","10","0","0","0","13.716","无","2020/08/20 06:31","2020/08/20 06:29"
"1393","19P0149456","19P0149456","2000-01-01","P","cfDNA","3.5","美基磁珠标准法","3.8","42","无","无","无","159.6","10","0","0","0","149.6","无","2020/08/20 06:31","2020/08/20 06:29"
"1394","19P0149444","19P0149444","2000-01-01","P","cfDNA","7.8","美基磁珠标准法","1.6","48","无","无","无","76.8","10","0","0","0","66.8","无","2020/08/20 06:31","2020/08/20 06:29"
"1395","19P0149449","19P0149449","2000-01-01","P","cfDNA","8.2","美基磁珠标准法","1.36","48","无","无","无","65.28","10","0","0","0","55.28","无","2020/08/20 06:31","2020/08/20 06:29"
"1396","19P0149457","19P0149457","2000-01-01","P","cfDNA","9.3","美基磁珠标准法","0.976","48","无","无","无","46.848","10","0","0","0","36.848","无","2020/08/20 06:31","2020/08/20 06:29"
"1397","19P0149446","19P0149446","2000-01-01","P","cfDNA","8","美基磁珠标准法","0.56","48","无","无","无","26.88","9.1","0","0","0","17.78","无","2020/08/20 06:31","2020/08/20 06:29"
"1398","19P0156921","19P0156921","2000-01-01","P","cfDNA","5","美基磁珠标准法","2.92","42","无","无","无","122.64","10","0","0","0","112.64","无","2020/08/20 06:31","2020/08/20 06:29"
"1399","19P0156916","19P0156916","2000-01-01","P","cfDNA","5.5","美基磁珠标准法","66","42","无","无","无","2772","10","0","0","0","2762","无","2020/08/20 06:31","2020/08/20 06:29"
"1400","19P0156917","19P0156917","2000-01-01","P","cfDNA","6.6","美基磁珠标准法","0.702","48","无","无","无","33.696","10","0","0","0","23.696","无","2020/08/20 06:31","2020/08/20 06:29"
"1401","19P0156919","19P0156919","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","0.7","49","无","无","无","34.3","10","0","0","0","24.3","无","2020/08/20 06:31","2020/08/20 06:29"
"1402","19P4178119","19P4178119","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","3.86","40","无","无","无","154.4","10","0","0","0","144.4","无","2020/08/20 06:31","2020/08/20 06:29"
"1403","19P4178115","19P4178115","2000-01-01","P","cfDNA","7.2","美基磁珠标准法","2.56","40","无","无","无","102.4","10","0","0","0","92.4","无","2020/08/20 06:31","2020/08/20 06:29"
"1404","19P4178108","19P4178108","2000-01-01","P","cfDNA","6.4","美基磁珠标准法","1.75","42","无","无","无","73.5","10","0","0","0","63.5","无","2020/08/20 06:31","2020/08/20 06:29"
"1405","19P4178110","19P4178110","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.75","42","无","无","无","73.5","10","0","0","0","63.5","Oseq-S由于Pre-PCR引物问题，检测失败","2020/08/20 06:31","2020/08/20 06:29"
"1406","19P4178120","19P4178120","2000-01-01","P","cfDNA","7.2","美基磁珠标准法","1.54","40","无","无","无","61.6","10","0","0","0","51.6","无","2020/08/20 06:31","2020/08/20 06:29"
"1407","19P4178109","19P4178109","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.5","42","无","无","无","63","10","0","0","0","53","无","2020/08/20 06:31","2020/08/20 06:29"
"1408","19P4178102","19P4178102","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.27","42","无","无","无","53.34","10","0","0","0","43.34","无","2020/08/20 06:31","2020/08/20 06:29"
"1409","19P4178117","19P4178117","2000-01-01","P","cfDNA","7.8","美基磁珠标准法","1.18","40","无","无","无","47.2","10","0","0","0","37.2","无","2020/08/20 06:31","2020/08/20 06:29"
"1410","19P4178104","19P4178104","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.14","42","无","无","无","47.88","10","0","0","0","37.88","无","2020/08/20 06:31","2020/08/20 06:29"
"1411","19P4178101","19P4178101","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.94","42","无","无","无","39.48","10","0","0","0","29.48","Oseq-S由于Pre-PCR引物问题，检测失败","2020/08/20 06:31","2020/08/20 06:29"
"1412","19P4178118","19P4178118","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.888","40","无","无","无","35.52","10","0","0","0","25.52","无","2020/08/20 06:31","2020/08/20 06:29"
"1413","19P4178103","19P4178103","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.82","42","无","无","无","34.44","10","0","0","0","24.44","Oseq-S由于Pre-PCR引物问题，检测失败","2020/08/20 06:31","2020/08/20 06:29"
"1414","19P4178112","19P4178112","2000-01-01","P","cfDNA","6.1","美基磁珠标准法","0.682","42","无","无","无","28.644","10","0","0","0","18.644","无","2020/08/20 06:31","2020/08/20 06:29"
"1415","19P4178111","19P4178111","2000-01-01","P","cfDNA","6.4","美基磁珠标准法","0.636","42","无","无","无","26.712","10","0","0","0","16.712","Oseq-S由于Pre-PCR引物问题，检测失败","2020/08/20 06:31","2020/08/20 06:29"
"1416","19P4178105","19P4178105","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.41","42","无","无","无","17.22","10","0","0","0","7.22","无","2020/08/20 06:31","2020/08/20 06:29"
"1417","19P5127870","19P5127870","2000-01-01","P","cfDNA","7.8","美基磁珠标准法","2.86","42","无","无","无","120.12","10","0","0","0","110.12","无","2020/08/20 06:31","2020/08/20 06:29"
"1418","19P5127848","19P5127848","2000-01-01","P","cfDNA","7.1","美基磁珠标准法","2.24","42","无","无","无","94.08","10","0","0","0","84.08","无","2020/08/20 06:31","2020/08/20 06:29"
"1419","19P5127816","19P5127816","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.63","36","无","无","无","58.68","10","0","0","0","48.68","无","2020/08/20 06:31","2020/08/20 06:29"
"1420","19P5127823","19P5127823","2000-01-01","P","cfDNA","7.7","美基磁珠标准法","1.58","42","无","无","无","66.36","10","0","0","0","56.36","无","2020/08/20 06:31","2020/08/20 06:29"
"1421","19P5127808","19P5127808","2000-01-01","P","cfDNA","5.9","美基磁珠标准法","1.41","42","无","无","无","59.22","10","0","0","0","49.22","无","2020/08/20 06:31","2020/08/20 06:29"
"1422","19P5127847","19P5127847","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.1","36","无","无","无","39.6","10","0","0","0","29.6","无","2020/08/20 06:31","2020/08/20 06:29"
"1423","19P5127843","19P5127843","2000-01-01","P","cfDNA","7.7","美基磁珠标准法","0.806","42","无","无","无","33.852","10","0","0","0","23.852","无","2020/08/20 06:31","2020/08/20 06:29"
"1424","19P5127807","19P5127807","2000-01-01","P","cfDNA","7.6","美基磁珠标准法","0.42","42","无","无","无","17.64","10","0","0","0","7.64","无","2020/08/20 06:31","2020/08/20 06:29"
"1425","19P5127806","19P5127806","2000-01-01","P","cfDNA","5.7","美基磁珠标准法","0.416","42","无","无","无","17.472","10","0","0","0","7.472","无","2020/08/20 06:31","2020/08/20 06:29"
"1426","19P5127824","19P5127824","2000-01-01","P","cfDNA","4.9","美基磁珠标准法","0.192","42","无","无","无","8.064","7.68","0","0","0","0.384","无","2020/08/20 06:31","2020/08/20 06:29"
"1427","19P5298109","19P5298109","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","5.54","36","无","无","无","199.44","10","0","0","0","189.44","无","2020/08/20 06:31","2020/08/20 06:29"
"1428","19P5298114","19P5298114","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","3.88","36","无","无","无","139.68","10","0","0","0","129.68","无","2020/08/20 06:31","2020/08/20 06:29"
"1429","19P5298107","19P5298107","2000-01-01","P","cfDNA","7.3","美基磁珠标准法","3.12","36","无","无","无","112.32","10","0","0","0","102.32","无","2020/08/20 06:31","2020/08/20 06:29"
"1430","19P5298111","19P5298111","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","2.14","36","无","无","无","77.04","10","0","0","0","67.04","无","2020/08/20 06:31","2020/08/20 06:29"
"1431","19P5298115","19P5298115","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","2.02","36","无","无","无","72.72","10","0","0","0","62.72","无","2020/08/20 06:31","2020/08/20 06:29"
"1432","19P5298108","19P5298108","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","1.78","36","无","无","无","64.08","10","0","0","0","54.08","无","2020/08/20 06:31","2020/08/20 06:29"
